Year,Country,gdp,expectancy,undernourishment,unemployment,co2
YR2004,Canada,32143.6814078562,79.9921951219512,2.5,7.19,16.7941859676954
YR2004,Uruguay,4130.1001146777,76.007,3.8,12.98,1.64762458578533
YR2004,Chile,6185.51479184893,77.616,3.2,10.16,3.43190265230929
YR2004,Argentina,4258.16026060875,74.855,4.0,13.52,3.65608487008491
YR2004,Costa Rica,4376.08042847261,78.331,5.0,6.39,1.39757336343115
YR2004,Mexico,7525.4874609367,74.372,4.6,3.94,3.98382568810155
YR2004,Brazil,3623.22390486815,71.131,6.8,10.07,1.77844124428615
YR2004,Peru,2393.66589710452,72.668,21.7,4.71,1.11985372004664
YR2004,Ecuador,2703.56567057465,74.279,22.7,5.0,1.93413278108917
YR2004,Colombia,2811.45945015998,72.695,10.6,13.72,1.35921378531275
YR2004,Paraguay,1776.93225816866,70.481,9.1,6.51,0.733652565836165
YR2004,Bolivia,951.951622939377,64.004,27.7,2.503,1.01802473644732
YR2004,"Venezuela, RB",4287.63157891057,72.514,10.0,15.07,5.32302926682947
YR2005,United States,44123.4070679055,77.4878048780488,2.5,5.08,19.4692725196123
YR2005,Canada,36382.5079164537,80.1126829268293,2.5,6.76,17.0275680997804
YR2005,Uruguay,5233.45717058668,76.194,3.9,12.01,1.63241315804941
YR2005,Chile,7561.8305480446,78.016,3.1,9.34,3.46014367204439
YR2005,Argentina,5086.62776073134,75.139,3.7,11.51,3.73671686472615
YR2005,Costa Rica,4643.45856992587,78.505,4.4,6.57,1.45367568706039
YR2005,Mexico,8321.85985639121,74.376,4.4,3.56,4.09880078414754
YR2005,Brazil,4773.26848028038,71.753,6.5,10.55,1.77566292246976
YR2005,Peru,2702.23770075461,72.986,18.8,4.87,1.11171716955682
YR2005,Ecuador,3014.3100093159,74.514,22.4,3.78,2.04940271656989
YR2005,Colombia,3448.53827356214,73.081,11.2,11.87,1.37815501028636
YR2005,Paraguay,1960.51476554933,70.527,9.5,4.82,0.675293479241276
YR2005,Bolivia,1018.31366190632,64.386,26.8,2.543,1.05391821261955
YR2005,"Venezuela, RB",5456.32242533255,72.782,8.4,10.66,5.5261010203502
YR2006,United States,46302.0008800056,77.6878048780488,2.5,4.62,18.9459168417477
YR2006,Canada,40504.0607253203,80.5436585365854,2.5,6.32,16.5952139152245
YR2006,Uruguay,5942.1266667126,76.362,3.7,10.84,1.9059489832591
YR2006,Chile,9418.0627175215,78.261,3.1,9.02,3.49859730051134
YR2006,Argentina,5890.97800169795,75.433,3.4,10.08,3.92426184145235
YR2006,Costa Rica,5188.36179215965,78.514,3.9,5.74,1.49765701301822
YR2006,Mexico,9125.3877388645,74.331,4.1,3.57,4.19418339721868
YR2006,Brazil,5866.02431314405,72.037,6.2,9.69,1.77747795657257
YR2006,Peru,3123.32015935927,73.172,15.7,4.17,1.08676985419652
YR2006,Ecuador,3340.84090289849,74.689,22.8,3.55,2.15048674568552
YR2006,Colombia,3782.60350413031,73.468,11.4,10.963,1.36051065966753
YR2006,Paraguay,2426.41709770871,70.781,9.7,5.28,0.714513498985939
YR2006,Bolivia,1200.06809196654,64.779,24.6,2.575,1.12284170571674
YR2006,"Venezuela, RB",6769.86841430715,72.742,7.0,8.61,5.44357091988619
YR2007,United States,48050.2237771135,77.9878048780488,2.5,4.62,19.0429117790575
YR2007,Canada,44659.8951408034,80.5436585365854,2.5,6.04,17.3806307727274
YR2007,Uruguay,7149.37463386796,76.498,3.1,9.4,1.7588806997189
YR2007,Chile,10461.3660887507,77.826,3.1,8.43,3.91463436960953
YR2007,Argentina,7210.59554755899,75.006,3.3,8.47,4.08315143871477
YR2007,Costa Rica,6055.08677891562,78.462,3.8,4.49,1.71226744750417
YR2007,Mexico,9719.9278639964,74.238,4.1,3.63,4.22076132665352
YR2007,Brazil,7323.19034003928,72.365,5.6,9.28,1.847975735626
YR2007,Peru,3572.36358879114,73.223,13.7,4.08,1.18209589261852
YR2007,Ecuador,3579.03224391806,74.844,22.1,3.14,2.14961090975302
YR2007,Colombia,4762.08297292255,73.837,11.0,10.25,1.3787719381779
